Nome,Label
Bad_dataset3_bad (488).jpg,0
Good_dataset03_good (494).jpg,1
Good_dataset03_good (238).jpg,1
Good_dataset03_good (638).jpg,1
Good_dataset03_good (533).jpg,1
Bad_dataset3_bad (56).jpg,0
Bad_dataset3_bad (26).jpg,0
Good_dataset03_good (659).jpg,1
Bad_dataset3_bad (355).jpg,0
Good_dataset03_good (202).jpg,1
Bad_dataset3_bad (641).jpg,0
Good_dataset03_good (626).jpg,1
Bad_dataset3_bad (170).jpg,0
Good_dataset03_good (186).jpg,1
Good_dataset03_good (6).jpg,1
Good_dataset03_good (36).jpg,1
Good_dataset03_good (564).jpg,1
Good_dataset03_good (111).jpg,1
Good_dataset03_good (377).jpg,1
Good_dataset03_good (185).jpg,1
Good_dataset03_good (491).jpg,1
Good_dataset03_good (455).jpg,1
Good_dataset03_good (448).jpg,1
Bad_dataset3_bad (96).jpg,0
Good_dataset03_good (346).jpg,1
Good_dataset03_good (485).jpg,1
Good_dataset03_good (277).jpg,1
Bad_dataset3_bad (314).jpg,0
Bad_dataset3_bad (667).jpg,0
Bad_dataset3_bad (368).jpg,0
Good_dataset03_good (392).jpg,1
Good_dataset03_good (39).jpg,1
Bad_dataset3_bad (21).jpg,0
Bad_dataset3_bad (632).jpg,0
Bad_dataset3_bad (525).jpg,0
Good_dataset03_good (180).jpg,1
Bad_dataset3_bad (217).jpg,0
Bad_dataset3_bad (663).jpg,0
Bad_dataset3_bad (639).jpg,0
Bad_dataset3_bad (138).jpg,0
Bad_dataset3_bad (596).jpg,0
Bad_dataset3_bad (139).jpg,0
Bad_dataset3_bad (253).jpg,0
Bad_dataset3_bad (205).jpg,0
Bad_dataset3_bad (570).jpg,0
Bad_dataset3_bad (524).jpg,0
Good_dataset03_good (16).jpg,1
Good_dataset03_good (639).jpg,1
Bad_dataset3_bad (124).jpg,0
Good_dataset03_good (586).jpg,1
Good_dataset03_good (22).jpg,1
Good_dataset03_good (468).jpg,1
Good_dataset03_good (342).jpg,1
Good_dataset03_good (407).jpg,1
Bad_dataset3_bad (34).jpg,0
Bad_dataset3_bad (258).jpg,0
Bad_dataset3_bad (277).jpg,0
Good_dataset03_good (77).jpg,1
Good_dataset03_good (247).jpg,1
Good_dataset03_good (404).jpg,1
Good_dataset03_good (244).jpg,1
Good_dataset03_good (335).jpg,1
Good_dataset03_good (327).jpg,1
Good_dataset03_good (288).jpg,1
Bad_dataset3_bad (288).jpg,0
Bad_dataset3_bad (388).jpg,0
Good_dataset03_good (311).jpg,1
Good_dataset03_good (397).jpg,1
Good_dataset03_good (152).jpg,1
Good_dataset03_good (656).jpg,1
Bad_dataset3_bad (533).jpg,0
Good_dataset03_good (483).jpg,1
Good_dataset03_good (549).jpg,1
Bad_dataset3_bad (468).jpg,0
Bad_dataset3_bad (646).jpg,0
Good_dataset03_good (317).jpg,1
Good_dataset03_good (206).jpg,1
Bad_dataset3_bad (647).jpg,0
Good_dataset03_good (261).jpg,1
Bad_dataset3_bad (168).jpg,0
Bad_dataset3_bad (475).jpg,0
Good_dataset03_good (287).jpg,1
Bad_dataset3_bad (417).jpg,0
Bad_dataset3_bad (43).jpg,0
Bad_dataset3_bad (63).jpg,0
Bad_dataset3_bad (114).jpg,0
Good_dataset03_good (234).jpg,1
Bad_dataset3_bad (18).jpg,0
Good_dataset03_good (262).jpg,1
Good_dataset03_good (440).jpg,1
Bad_dataset3_bad (573).jpg,0
Bad_dataset3_bad (149).jpg,0
Bad_dataset3_bad (482).jpg,0
Bad_dataset3_bad (454).jpg,0
Good_dataset03_good (520).jpg,1
Good_dataset03_good (535).jpg,1
Bad_dataset3_bad (328).jpg,0
Bad_dataset3_bad (134).jpg,0
Good_dataset03_good (241).jpg,1
Good_dataset03_good (470).jpg,1
Bad_dataset3_bad (125).jpg,0
Bad_dataset3_bad (673).jpg,0
Good_dataset03_good (581).jpg,1
Good_dataset03_good (60).jpg,1
Bad_dataset3_bad (669).jpg,0
Good_dataset03_good (624).jpg,1
Bad_dataset3_bad (392).jpg,0
Good_dataset03_good (257).jpg,1
Bad_dataset3_bad (281).jpg,0
Bad_dataset3_bad (499).jpg,0
Good_dataset03_good (596).jpg,1
Good_dataset03_good (11).jpg,1
Bad_dataset3_bad (403).jpg,0
Bad_dataset3_bad (17).jpg,0
Good_dataset03_good (385).jpg,1
Bad_dataset3_bad (228).jpg,0
Good_dataset03_good (138).jpg,1
Bad_dataset3_bad (254).jpg,0
Good_dataset03_good (575).jpg,1
Bad_dataset3_bad (30).jpg,0
Bad_dataset3_bad (498).jpg,0
Bad_dataset3_bad (201).jpg,0
Good_dataset03_good (576).jpg,1
Bad_dataset3_bad (400).jpg,0
Bad_dataset3_bad (554).jpg,0
Good_dataset03_good (81).jpg,1
Good_dataset03_good (636).jpg,1
Good_dataset03_good (402).jpg,1
Good_dataset03_good (519).jpg,1
Bad_dataset3_bad (537).jpg,0
Good_dataset03_good (499).jpg,1
Bad_dataset3_bad (577).jpg,0
Bad_dataset3_bad (350).jpg,0
Bad_dataset3_bad (158).jpg,0
Bad_dataset3_bad (572).jpg,0
Bad_dataset3_bad (437).jpg,0
Good_dataset03_good (526).jpg,1
Good_dataset03_good (611).jpg,1
Bad_dataset3_bad (518).jpg,0
Bad_dataset3_bad (42).jpg,0
Bad_dataset3_bad (145).jpg,0
Good_dataset03_good (539).jpg,1
Bad_dataset3_bad (273).jpg,0
Bad_dataset3_bad (167).jpg,0
Bad_dataset3_bad (310).jpg,0
Good_dataset03_good (67).jpg,1
Bad_dataset3_bad (506).jpg,0
Bad_dataset3_bad (651).jpg,0
Good_dataset03_good (273).jpg,1
Bad_dataset3_bad (72).jpg,0
Bad_dataset3_bad (474).jpg,0
Bad_dataset3_bad (418).jpg,0
Bad_dataset3_bad (335).jpg,0
Good_dataset03_good (368).jpg,1
Good_dataset03_good (213).jpg,1
Good_dataset03_good (529).jpg,1
Bad_dataset3_bad (489).jpg,0
Good_dataset03_good (235).jpg,1
Bad_dataset3_bad (406).jpg,0
Good_dataset03_good (19).jpg,1
Bad_dataset3_bad (65).jpg,0
Bad_dataset3_bad (643).jpg,0
Good_dataset03_good (467).jpg,1
Bad_dataset3_bad (230).jpg,0
Good_dataset03_good (227).jpg,1
Good_dataset03_good (430).jpg,1
Bad_dataset3_bad (245).jpg,0
Good_dataset03_good (650).jpg,1
Bad_dataset3_bad (259).jpg,0
Good_dataset03_good (116).jpg,1
Good_dataset03_good (142).jpg,1
Good_dataset03_good (614).jpg,1
Good_dataset03_good (280).jpg,1
Bad_dataset3_bad (626).jpg,0
Bad_dataset3_bad (132).jpg,0
Good_dataset03_good (601).jpg,1
Good_dataset03_good (333).jpg,1
Good_dataset03_good (74).jpg,1
Bad_dataset3_bad (594).jpg,0
Good_dataset03_good (56).jpg,1
Good_dataset03_good (132).jpg,1
Bad_dataset3_bad (439).jpg,0
Good_dataset03_good (571).jpg,1
Bad_dataset3_bad (265).jpg,0
Bad_dataset3_bad (373).jpg,0
Good_dataset03_good (602).jpg,1
Good_dataset03_good (568).jpg,1
Good_dataset03_good (201).jpg,1
Good_dataset03_good (203).jpg,1
Good_dataset03_good (369).jpg,1
Bad_dataset3_bad (631).jpg,0
Bad_dataset3_bad (501).jpg,0
Good_dataset03_good (465).jpg,1
Good_dataset03_good (555).jpg,1
Bad_dataset3_bad (137).jpg,0
Good_dataset03_good (462).jpg,1
Bad_dataset3_bad (343).jpg,0
Good_dataset03_good (266).jpg,1
Good_dataset03_good (279).jpg,1
Bad_dataset3_bad (645).jpg,0
Bad_dataset3_bad (303).jpg,0
Good_dataset03_good (90).jpg,1
Good_dataset03_good (524).jpg,1
Good_dataset03_good (296).jpg,1
Good_dataset03_good (170).jpg,1
Bad_dataset3_bad (431).jpg,0
Good_dataset03_good (265).jpg,1
Bad_dataset3_bad (625).jpg,0
Bad_dataset3_bad (681).jpg,0
Bad_dataset3_bad (640).jpg,0
Bad_dataset3_bad (493).jpg,0
Bad_dataset3_bad (453).jpg,0
Bad_dataset3_bad (358).jpg,0
Bad_dataset3_bad (455).jpg,0
Bad_dataset3_bad (5).jpg,0
Good_dataset03_good (496).jpg,1
Bad_dataset3_bad (371).jpg,0
Bad_dataset3_bad (339).jpg,0
Bad_dataset3_bad (53).jpg,0
Bad_dataset3_bad (220).jpg,0
Good_dataset03_good (278).jpg,1
Bad_dataset3_bad (540).jpg,0
Bad_dataset3_bad (256).jpg,0
Good_dataset03_good (362).jpg,1
Bad_dataset3_bad (332).jpg,0
Good_dataset03_good (446).jpg,1
Good_dataset03_good (408).jpg,1
Good_dataset03_good (276).jpg,1
Good_dataset03_good (557).jpg,1
Good_dataset03_good (444).jpg,1
Good_dataset03_good (122).jpg,1
Bad_dataset3_bad (269).jpg,0
Good_dataset03_good (426).jpg,1
Bad_dataset3_bad (588).jpg,0
Bad_dataset3_bad (122).jpg,0
Bad_dataset3_bad (35).jpg,0
Good_dataset03_good (113).jpg,1
Good_dataset03_good (252).jpg,1
Bad_dataset3_bad (166).jpg,0
Bad_dataset3_bad (409).jpg,0
Bad_dataset3_bad (628).jpg,0
Bad_dataset3_bad (659).jpg,0
Good_dataset03_good (379).jpg,1
Good_dataset03_good (471).jpg,1
Good_dataset03_good (159).jpg,1
Bad_dataset3_bad (140).jpg,0
Bad_dataset3_bad (529).jpg,0
Good_dataset03_good (109).jpg,1
Bad_dataset3_bad (563).jpg,0
Good_dataset03_good (172).jpg,1
Bad_dataset3_bad (282).jpg,0
Bad_dataset3_bad (262).jpg,0
Good_dataset03_good (464).jpg,1
Bad_dataset3_bad (375).jpg,0
Good_dataset03_good (525).jpg,1
Good_dataset03_good (242).jpg,1
Bad_dataset3_bad (613).jpg,0
Good_dataset03_good (243).jpg,1
Bad_dataset3_bad (370).jpg,0
Good_dataset03_good (453).jpg,1
Bad_dataset3_bad (679).jpg,0
Bad_dataset3_bad (59).jpg,0
Bad_dataset3_bad (300).jpg,0
Bad_dataset3_bad (88).jpg,0
Bad_dataset3_bad (505).jpg,0
Bad_dataset3_bad (415).jpg,0
Good_dataset03_good (292).jpg,1
Good_dataset03_good (594).jpg,1
Bad_dataset3_bad (237).jpg,0
Good_dataset03_good (399).jpg,1
Bad_dataset3_bad (161).jpg,0
Bad_dataset3_bad (545).jpg,0
Good_dataset03_good (79).jpg,1
Good_dataset03_good (339).jpg,1
Bad_dataset3_bad (515).jpg,0
Bad_dataset3_bad (287).jpg,0
Bad_dataset3_bad (382).jpg,0
Good_dataset03_good (373).jpg,1
Good_dataset03_good (179).jpg,1
Good_dataset03_good (7).jpg,1
Good_dataset03_good (528).jpg,1
Bad_dataset3_bad (121).jpg,0
Bad_dataset3_bad (496).jpg,0
Bad_dataset3_bad (676).jpg,0
Good_dataset03_good (200).jpg,1
Bad_dataset3_bad (248).jpg,0
Good_dataset03_good (417).jpg,1
Bad_dataset3_bad (456).jpg,0
Bad_dataset3_bad (349).jpg,0
Good_dataset03_good (177).jpg,1
Good_dataset03_good (57).jpg,1
Bad_dataset3_bad (71).jpg,0
Bad_dataset3_bad (66).jpg,0
Bad_dataset3_bad (263).jpg,0
Bad_dataset3_bad (449).jpg,0
Bad_dataset3_bad (560).jpg,0
Good_dataset03_good (123).jpg,1
Bad_dataset3_bad (127).jpg,0
